ind,node,weekday_in_core,weekday_out_core,weekend_in_core,weekend_out_core,weekday_in_core_lvl,weekday_out_core_lvl,weekend_in_core_lvl,weekend_out_core_lvl,weekday_ksc_ent_in,weekday_ksc_ent_out,weekend_ksc_ent_in,weekend_ksc_ent_out
113,KAMPONG TIONG BAHRU,14085,13524,8195,7726,1,1,1,1,0.5097498573438211,0.387256869137535,0.5297834599821774,0.415185940873977
114,KAMPONG UBI,14278,14023,8195,8377,1,1,1,1,0.3411905787121113,0.3195226821153601,0.30738974229586036,0.30333200254988824
115,KANGKAR,14278,14023,8195,8377,1,1,1,1,0.20614331003797776,0.5467613943451793,0.14744176119915783,0.4983409958329118
116,KATONG,14278,13942,8195,8074,1,1,1,1,0.5395483182196732,0.3129745188054518,0.5239048921599072,0.27822807618163165
117,KEAT HONG,13515,9559,8112,5679,1,0,1,0,0.518767954542895,0.8199536327534853,0.5180099239402213,0.7599582029544902
118,KEBUN BAHRU,14278,12669,8195,7616,1,0,1,0,0.31086966888803497,0.6343143874407725,0.3417396689195362,0.6141803018143795
119,KEMBANGAN,14278,14023,8195,8377,1,1,1,1,0.41110753042792797,0.11134283094442238,0.35918595092014577,0.10484807253121231
120,KENT RIDGE,8112,8609,3238,3135,0,0,0,0,0.6997575253640758,0.5164086648732654,0.7556210492115142,0.8433431324566387
121,KHATIB,14278,14023,8195,8377,1,1,1,1,0.9798272551186845,0.7465241463922084,0.9645591714665429,0.5854251404154023
122,KIAN TECK,8584,5656,4429,3153,0,0,0,0,0.8030175627499823,0.8588644533976056,0.8697420796036148,0.8856119081938023
123,KIM KEAT,5993,9863,3447,5902,0,0,0,0,0.5934257961901036,0.15105741175271695,0.876650496482747,0.5582432035855875
124,KOVAN,14278,14023,8195,8377,1,1,1,1,0.31865038175156046,0.2948668596962186,0.30124804019378953,0.27836927625366836
125,KRANJI,9113,7703,6359,4843,0,0,0,0,0.9872390957306606,0.7991617509120611,0.9975263347868364,0.3595401813973082
126,LAKESIDE,14278,13524,8195,8136,1,1,1,1,0.7621500314705003,0.5522124542838635,0.7005149461299496,0.4425815117868801
127,LAVENDER,14278,14023,8195,8377,1,1,1,1,0.6719849392241294,0.48279502452282796,0.5390439839901969,0.4210733307782327
128,LEEDON PARK,12733,13524,7591,7726,0,1,0,1,0.8479000952364967,0.8408633788022613,0.9998876050408839,0.8303196176415565
129,LEONIE HILL,6902,6052,3804,3326,0,0,0,0,0.8517114283773215,0.9977428163532546,0.8678343612760772,0.9735929291866847
