ind,name,epi_val,loc_x,loc_y,geometry,lon,lat
163,SWISS CLUB,0.0021963059276760995,23436.268864296657,35866.36797523307,POINT (23436.26886429666 35866.36797523307),103.79231073810345,1.3406368680394418
164,FABER,0.0010645472475630567,19489.655947931748,33800.86623498317,POINT (19489.65594793175 33800.86623498317),103.75684866369166,1.3219563624509025
165,SELETAR,0.0012537024868056834,33371.54996742569,43425.08958715136,POINT (33371.54996742569 43425.08958715136),103.88158652373819,1.4089950869017478
166,TYERSALL,0.0015211222005138787,25732.653605593776,32985.84941483235,POINT (25732.65360559378 32985.84941483235),103.812945334032,1.314586739878893
167,SAUJANA,0.0017861281919928557,20536.71458242836,40906.653164726005,POINT (20536.71458242836 40906.65316472601),103.76625526492073,1.3862187994806403
168,PHILLIP,0.000346099232289574,29706.724254032208,29744.90793233342,POINT (29706.72425403221 29744.90793233342),103.8486541764783,1.2852768433369641
169,QUEENSWAY,0.0012111679063986013,24168.31066714539,30104.176894295317,POINT (24168.31066714539 30104.17689429532),103.79888928267604,1.2885257576336944
170,JURONG PORT,0.0008656870913631092,15250.743384648242,32183.916017764193,POINT (15250.74338464824 32183.91601776419),103.71876051501681,1.3073317903806227
171,SENNETT,0.0024121273507973677,32485.48989132639,35050.196588656974,POINT (32485.48989132639 35050.19658865697),103.87362325551098,1.3332557175653341
172,HONG KAH NORTH,0.0029451849594268097,18505.46533835265,38307.468402074024,POINT (18505.46533835265 38307.46840207402),103.74800378713729,1.3627121368319692
173,OXLEY,0.00039661139977998305,28802.355543490634,31053.671768288063,POINT (28802.35554349063 31053.67176828806),103.84052809676885,1.2971128795982187
174,TURF CLUB,0.002962672311407556,20234.60067065213,44507.19013116936,POINT (20234.60067065213 44507.19013116936),103.76353957763118,1.4187806576589455
175,WEST COAST,0.0009298684470540078,19293.762515404862,33172.62289817378,POINT (19293.76251540486 33172.62289817378),103.75508863677432,1.3162747018530605
176,BAYFRONT SUBZONE,0.001339462655463043,30806.241886055977,29530.167087400507,POINT (30806.24188605598 29530.16708740051),103.8585337607757,1.2833347237960444
177,TANJONG RHU,0.0015787756500198293,32740.120813032518,31438.308438870205,POINT (32740.12081303252 31438.3084388702),103.87591070438813,1.3005910471880395
178,PIONEER SECTOR,0.0003572423975266653,8872.750171111462,31423.443487222998,POINT (8872.750171111462 31423.443487223),103.66145185842086,1.3004510861525571
179,SHIPYARD,0.00045380478745975065,11970.142817380833,32202.385405285226,POINT (11970.14281738083 32202.38540528523),103.68928282333309,1.3074972927833701
180,MARINA CENTRE,0.0025765673568258532,30938.098571689057,30471.826782067328,POINT (30938.09857168906 30471.82678206733),103.8597186321672,1.291850750540621
181,BUKIT BATOK EAST,0.002193747805503169,19566.36135946296,36806.30159336412,POINT (19566.36135946296 36806.30159336412),103.75753706906308,1.3491364515354562
182,CENTRAL SUBZONE,0.002974711868965386,30125.836768927835,28683.03994913768,POINT (30125.83676892783 28683.03994913768),103.85241999819281,1.2756736565743474
183,PATERSON,0.0007918383977197668,27809.317106348877,31511.373390977304,POINT (27809.31710634888 31511.3733909773),103.83160520673977,1.301252181698841
184,DUNEARN,0.001040074978922778,26525.527855372544,34268.854766534845,POINT (26525.52785537254 34268.85476653485),103.82006964537068,1.3261898347977434
185,DEFU INDUSTRIAL PARK,0.0018104167986748004,34951.39613885811,37089.43309924034,POINT (34951.39613885811 37089.43309924034),103.89578128553674,1.351697372245226
