node,weekday_in_core,weekday_out_core,weekend_in_core,weekend_out_core,weekday_in_core_lvl,weekday_out_core_lvl,weekend_in_core_lvl,weekend_out_core_lvl
TELOK BLANGAH RISE,12981,13524,7858,7726,1,1,1,1
TELOK BLANGAH WAY,8830,13524,5103,7712,0,1,0,1
TENGAH,5099,4389,2908,2491,0,0,0,0
TENGEH,536,622,326,360,0,0,0,0
THE WHARVES,1273,2971,900,2124,0,0,0,0
TIONG BAHRU,12981,13524,7913,7726,1,1,1,1
TIONG BAHRU STATION,14278,14023,8195,8377,1,1,1,1
TOA PAYOH CENTRAL,14278,14023,8195,8377,1,1,1,1
TOA PAYOH WEST,14278,14008,8195,7990,1,1,1,1
TOH GUAN,13515,13524,8112,7726,1,1,1,1
TOH TUCK,12461,12581,6835,6873,0,0,0,0
TOWNSVILLE,14278,14023,8195,8377,1,1,1,1
TRAFALGAR,14278,14023,8195,8377,1,1,1,1
TUAS BAY,7266,5917,3959,3726,0,0,0,0
TUAS NORTH,7316,6244,3959,3726,0,0,0,0
TUAS PROMENADE,5617,5605,3085,3726,0,0,0,0
TUAS VIEW,2515,2258,1932,1366,0,0,0,0
TUAS VIEW EXTENSION,1251,1184,1039,872,0,0,0,0
TUKANG,6794,3576,3067,1825,0,0,0,0
TURF CLUB,13515,12781,8112,7874,1,0,1,1
TYERSALL,12981,13942,7591,7874,1,1,0,1
ULU PANDAN,9541,4693,5542,2557,0,0,0,0
UPPER PAYA LEBAR,14278,13524,8195,7782,1,1,1,1
UPPER THOMSON,14278,14023,8195,8377,1,1,1,1
VICTORIA,14278,14023,8195,8377,1,1,1,1
WATERWAY EAST,14278,14023,8195,8275,1,1,1,1
WENYA,7792,7588,4108,4190,0,0,0,0
WEST COAST,8452,4926,4381,2765,0,0,0,0
WESTERN WATER CATCHMENT,7792,8100,4522,4505,0,0,0,0
WOODGROVE,7251,12781,4451,7874,0,0,0,1
WOODLANDS EAST,14278,14023,8195,8377,1,1,1,1
WOODLANDS REGIONAL CENTRE,14278,14023,8195,8377,1,1,1,1
