ind,node,weekday_in_core,weekday_out_core,weekend_in_core,weekend_out_core,weekday_in_core_lvl,weekday_out_core_lvl,weekend_in_core_lvl,weekend_out_core_lvl
277,UPPER PAYA LEBAR,5104,4620,4690,4149,1,1,1,1
278,UPPER THOMSON,7385,7318,6252,6171,1,1,1,1
279,VICTORIA,7385,7318,6252,6239,1,1,1,1
280,WATERWAY EAST,7385,7318,6252,6171,1,1,1,1
281,WENYA,2509,2399,2054,2095,0,0,0,0
282,WEST COAST,2673,1558,2190,1382,0,0,0,0
283,WESTERN WATER CATCHMENT,2598,2561,2384,2253,0,0,0,0
284,WOODGROVE,2293,4158,2225,4173,0,0,0,1
285,WOODLANDS EAST,7385,7318,6252,6239,1,1,1,1
286,WOODLANDS REGIONAL CENTRE,7385,7318,6252,6239,1,1,1,1
287,WOODLANDS SOUTH,2143,3446,1799,3190,0,0,0,0
288,WOODLANDS WEST,7385,7318,6252,6239,1,1,1,1
289,WOODLEIGH,3115,1779,2665,1530,0,0,0,0
290,XILIN,7385,7318,6252,6106,1,1,1,1
291,YEW TEE,7385,7318,6252,6239,1,1,1,1
292,YIO CHU KANG,7385,7318,6252,6171,1,1,1,1
293,YIO CHU KANG EAST,3455,2867,1995,1822,0,0,0,0
294,YIO CHU KANG NORTH,1385,3133,930,2483,0,0,0,0
295,YIO CHU KANG WEST,4762,4006,4464,3847,1,0,1,0
296,YISHUN CENTRAL,5979,6396,5904,5781,1,1,1,1
297,YISHUN EAST,3264,3976,3119,3839,0,0,0,0
298,YISHUN SOUTH,3264,6396,3119,5763,0,1,0,1
299,YISHUN WEST,7385,7318,6252,6239,1,1,1,1
300,YUHUA EAST,5186,5179,5059,5005,1,1,1,1
301,YUHUA WEST,4866,5179,4507,5005,1,1,1,1
302,YUNNAN,5104,5080,4765,4905,1,1,1,1
