ind,node,cal_dc_spreader,cal_hh,cal_pr_spreader,cal_dc_receiver,cal_ha,cal_pr_receiver
55,TAMPINES EAST,0.5679063137698191,0.5686624127102127,0.5352872253249746,0.6192979166678404,0.6192979166678404,0.5829508967943648
56,BEDOK NORTH,0.40132395110856184,0.4030657651535711,0.37518799765073263,0.374157380794417,0.37868297658936473,0.348280300156845
57,PASIR RIS CENTRAL,0.44398406017711656,0.43628621439383847,0.4255661289812571,0.3928205571550857,0.40662287557606125,0.3743449226688311
58,ALJUNIED,0.5240363435958445,0.4792727317069654,0.5010315388670697,0.48316746779643777,0.45738670763728523,0.4569655059397833
59,GEYLANG EAST,0.421924409883413,0.40674948549802004,0.3930884282987747,0.4090437981296434,0.4022225466736139,0.3837763114021815
60,TAMPINES WEST,0.32848423403788046,0.3837836839822877,0.30933502429862353,0.28441308797162,0.3483271821430848,0.2605828229538904
61,SIMEI,0.32836838371287674,0.36454254748203074,0.30221746663379373,0.2851345219120734,0.3369892073895327,0.2621410392215502
62,PASIR RIS DRIVE,0.21214569513804737,0.23059971684772043,0.19962036255352594,0.2379178706898653,0.27059721837446554,0.2274182144335931
63,KAKI BUKIT,0.3273105623434387,0.33049349500039793,0.3133072777607542,0.399052091556609,0.4075015207102976,0.3769877069652539
64,BEDOK SOUTH,0.3136593375651616,0.3210732959679714,0.28875814453596543,0.295418414271522,0.3193612783496974,0.2751789111275031
65,MACPHERSON,0.3523293430936435,0.3374398926031716,0.32755099839819496,0.34040867545644043,0.33420044187636666,0.31879486771645793
66,FRANKEL,0.26696453115155455,0.26480711287059355,0.2704118165190895,0.291956845159162,0.2994176048278347,0.2736288376033115
67,KEMBANGAN,0.17637382245703065,0.19179023773320514,0.16967400357001763,0.3228334672859348,0.333834033627851,0.30361075686648775
68,KAMPONG UBI,0.3025759641709361,0.2865991047667652,0.290673190934365,0.3182952188146439,0.31946679284654483,0.3000679261562202
69,PASIR RIS WEST,0.25522490578139717,0.2574003957557175,0.23920588769292783,0.22165465529604503,0.22908695195623574,0.21249236379334108
70,BEDOK RESERVOIR,0.18156852905605092,0.1990151455283912,0.1625690723764136,0.20505494551371622,0.23347842291457677,0.18877067184247326
71,MARINE PARADE,0.33316154997195707,0.3054639535506875,0.3089855867296719,0.3034033266092984,0.29700028374961196,0.2917008480898536
72,XILIN,0.16618078118877522,0.18413313976799026,0.15819717081286735,0.2928022735680137,0.32900936184248547,0.27028620551969107
73,CHANGI AIRPORT,0.346212248371265,0.3605742984291328,0.3278714732105614,0.4269859832991692,0.4557302206825481,0.40218926979498565
